Algorithm,MAE,RMSE,R2
XGBoost,104084.73207162495,186843.99884611033,0.9202081560414263
Random Forest,102644.8789812061,187084.99934207083,0.9200021844726225
Linear Regression,111722.49398307783,205760.71603425793,0.9032334807108925
